h,r,t
1158,1,1894
1158,1,1913
1158,1,1919
1158,1,1921
1159,1,1911
1159,1,1916
1160,1,1884
1162,1,1897
1162,1,1921
1163,1,1899
1167,1,1910
1173,1,1911
1177,1,1882
1179,1,1921
1182,1,1904
1186,1,1899
1187,1,1899
1187,1,1912
1190,1,1918
1191,1,1891
1192,1,1903
1195,1,1899
1200,1,1895
1200,1,1922
1201,1,1882
1204,1,1911
1205,1,1887
1205,1,1889
1205,1,1917
1207,1,1914
1212,1,1891
1213,1,1889
1215,1,1909
1216,1,1918
1218,1,1897
1221,1,1895
1223,1,1923
1225,1,1911
1228,1,1902
1230,1,1914
1231,1,1905
1232,1,1882
1232,1,1914
1235,1,1895
1235,1,1922
1236,1,1911
1237,1,1910
1239,1,1891
1240,1,1911
1241,1,1884
1245,1,1923
1246,1,1884
1247,1,1902
1248,1,1910
1250,1,1909
1250,1,1910
1251,1,1894
1253,1,1911
1259,1,1884
1263,1,1896
1264,1,1910
1266,1,1896
1267,1,1910
1268,1,1916
1269,1,1909
1270,1,1883
1271,1,1890
1272,1,1909
1273,1,1897
1274,1,1895
1274,1,1896
1277,1,1899
1277,1,1912
1280,1,1895
1282,1,1897
1284,1,1899
1287,1,1882
1290,1,1909
1291,1,1888
1292,1,1899
1294,1,1914
1305,1,1884
1305,1,1918
1306,1,1911
1312,1,1899
1317,1,1911
1320,1,1921
1323,1,1884
1324,1,1891
1325,1,1891
1327,1,1911
1339,1,1899
1341,1,1891
1343,1,1917
1345,1,1898
1345,1,1911
1347,1,1902
1348,1,1884
1349,1,1884
1350,1,1892
1351,1,1924
1354,1,1913
1355,1,1913
1356,1,1886
1356,1,1915
1357,1,1884
1359,1,1907
1363,1,1906
1366,1,1911
1368,1,1897
1368,1,1924
1370,1,1910
1371,1,1888
1371,1,1898
1372,1,1908
1374,1,1916
1375,1,1888
1375,1,1898
1377,1,1892
1377,1,1906
1378,1,1892
1379,1,1911
1381,1,1924
1382,1,1887
1384,1,1899
1388,1,1911
1390,1,1919
1396,1,1897
1399,1,1910
1403,1,1896
1407,1,1917
1407,1,1920
1408,1,1882
1408,1,1909
1409,1,1918
1415,1,1884
1417,1,1891
1417,1,1920
1418,1,1915
1419,1,1882
1420,1,1895
1420,1,1896
1422,1,1884
1424,1,1896
1424,1,1924
1425,1,1909
1428,1,1897
1429,1,1907
1429,1,1920
1430,1,1911
1431,1,1901
1432,1,1909
1432,1,1910
1433,1,1884
1434,1,1883
1436,1,1899
1436,1,1910
1441,1,1889
1442,1,1910
1443,1,1887
1445,1,1887
1445,1,1892
1446,1,1918
1447,1,1893
1449,1,1884
1450,1,1897
1450,1,1921
1451,1,1923
1453,1,1910
1461,1,1910
1463,1,1894
1463,1,1921
1464,1,1884
1468,1,1904
1469,1,1901
1470,1,1900
1480,1,1918
1481,1,1895
1481,1,1922
1482,1,1912
1489,1,1883
1489,1,1902
1493,1,1901
1494,1,1891
1494,1,1923
1495,1,1903
1495,1,1907
1498,1,1920
1499,1,1917
1500,1,1917
1502,1,1888
1503,1,1911
1505,1,1896
1506,1,1896
1509,1,1899
1509,1,1912
1512,1,1911
1517,1,1910
1520,1,1918
1522,1,1899
1522,1,1911
1536,1,1897
1554,1,1920
1555,1,1884
1558,1,1884
1558,1,1886
1561,1,1884
1569,1,1912
1569,1,1914
1570,1,1897
1570,1,1924
1571,1,1896
1576,1,1910
1579,1,1903
1585,1,1884
1586,1,1920
1589,1,1886
1592,1,1919
1593,1,1910
1625,1,1897
1630,1,1915
1631,1,1902
1633,1,1903
1633,1,1920
1639,1,1895
1639,1,1922
1641,1,1884
1646,1,1884
1650,1,1895
1650,1,1910
1664,1,1920
1669,1,1912
1670,1,1884
1673,1,1911
1675,1,1891
1680,1,1884
1687,1,1923
1703,1,1884
1712,1,1896
1716,1,1886
1722,1,1918
1742,1,1911
1742,1,1916
1744,1,1921
1753,1,1919
1763,1,1904
1763,1,1917
1764,1,1899
1764,1,1910
1765,1,1899
1768,1,1882
1771,1,1902
1777,1,1899
1782,1,1887
1783,1,1899
1785,1,1916
1789,1,1884
1795,1,1884
1805,1,1884
1806,1,1911
1809,1,1892
1812,1,1895
1812,1,1896
1816,1,1919
1823,1,1921
1826,1,1910
1832,1,1911
1840,1,1919
1852,1,1907
1852,1,1920
1854,1,1921
1855,1,1917
1857,1,1922
1858,1,1884
1860,1,1918
1861,1,1887
1861,1,1913
1864,1,1887
1864,1,1913
1871,1,1919
1877,1,1911
1882,1,1911
1886,1,1915
1887,1,1888
1887,1,1905
1887,1,1915
1889,1,1884
1890,1,1888
1890,1,1905
1892,1,1900
1894,1,1884
1894,1,1909
1896,1,1884
1896,1,1914
1896,1,1921
1899,1,1913
1903,1,1913
1905,1,1906
1906,1,1884
1908,1,1913
1909,1,1905
1910,1,1884
1913,1,1906
1916,1,1890
1921,1,1916
1922,1,1921
1923,1,1898
1924,1,1882
1925,1,1882
1926,1,1902
1928,1,1902
1930,1,1887
1930,1,1900
1931,1,1902
1932,1,1884
1933,1,1895
1933,1,1896
1934,1,1918
1936,1,1915
1938,1,1914
1938,1,1923
1939,1,1886
1943,1,1884
1948,1,1915
1949,1,1907
1949,1,1920
1952,1,1896
1957,1,1901
1961,1,1883
1961,1,1904
1968,1,1897
1969,1,1898
1970,1,1909
1970,1,1914
1983,1,1918
1986,1,1919
1995,1,1891
1999,1,1907
2014,1,1908
2017,1,1887
2018,1,1917
2020,1,1894
2024,1,1908
2026,1,1920
2029,1,1917
2044,1,1894
2047,1,1919
2048,1,1908
2050,1,1904
2054,1,1890
2059,1,1884
2061,1,1885
2062,1,1890
2068,1,1897
2075,1,1907
2076,1,1885
2077,1,1909
2078,1,1906
2079,1,1919
2085,1,1883
2086,1,1906
2097,1,1913
2101,1,1886
2107,1,1885
2107,1,1913
2112,1,1922
2116,1,1893
2119,1,1884
2120,1,1906
2121,1,1906
2123,1,1914
2130,1,1884
2144,1,1901
2165,1,1911
2171,1,1915
2185,1,1910
2186,1,1910
2192,1,1903
2192,1,1920
2193,1,1919
2194,1,1907
2194,1,1920
2196,1,1919
2204,1,1901
2212,1,1919
2213,1,1884
2216,1,1890
2218,1,1890
2219,1,1890
2222,1,1890
2225,1,1895
2225,1,1922
2238,1,1919
2239,1,1915
2243,1,1918
2246,1,1919
2252,1,1919
2278,1,1910
2285,1,1913
2286,1,1913
2286,1,1919
2290,1,1896
2290,1,1924
2294,1,1924
2299,1,1911
2301,1,1890
2308,1,1886
2308,1,1908
2319,1,1884
2322,1,1900
2324,1,1917
2330,1,1884
2336,1,1911
2337,1,1884
2338,1,1884
2341,1,1884
2342,1,1888
2350,1,1911
2351,1,1887
2351,1,1900
2353,1,1887
2353,1,1889
2360,1,1895
2373,1,1896
2373,1,1924
2379,1,1901
2383,1,1896
2385,1,1891
2385,1,1914
2385,1,1921
2387,1,1884
2392,1,1884
2393,1,1889
2418,1,1903
2424,1,1910
2426,1,1893
2439,1,1911
2460,1,1890
2462,1,1884
2464,1,1910
2473,1,1911
2474,1,1913
2491,1,1882
2494,1,1897
2497,1,1897
2497,1,1918
2500,1,1924
2501,1,1891
2510,1,1894
2521,1,1885
2521,1,1887
2521,1,1892
2523,1,1885
2523,1,1887
2523,1,1892
2525,1,1913
2530,1,1917
2531,1,1894
2531,1,1921
2538,1,1918
2540,1,1917
2543,1,1918
2547,1,1884
2551,1,1911
2552,1,1915
2554,1,1884
2554,1,1888
2554,1,1915
2555,1,1903
2555,1,1907
2556,1,1897
2556,1,1902
2558,1,1893
2577,1,1907
2577,1,1920
2578,1,1920
2579,1,1920
2598,1,1910
2604,1,1919
2613,1,1895
2614,1,1884
2617,1,1884
2618,1,1910
2620,1,1894
2635,1,1915
2639,1,1884
2663,1,1913
2664,1,1913
2670,1,1910
2719,1,1885
2738,1,1906
2739,1,1905
2739,1,1913
2742,1,1893
2767,1,1890
2808,1,1919
2835,1,1903
300,1,1913
1158,0,525
1158,0,493
1159,0,542
1160,0,728
1161,0,1266
1161,0,1250
1162,0,1287
1165,0,472
1172,0,1830
1171,0,364
1171,0,357
1171,0,334
1170,0,180
1166,0,548
1164,0,488
1164,0,486
1164,0,485
1164,0,483
1164,0,482
1163,0,82
1173,0,829
1173,0,827
1173,0,829
1173,0,827
1173,0,829
1173,0,827
1173,0,829
1173,0,827
1173,0,829
1173,0,827
1177,0,1016
1177,0,1016
1177,0,1016
1182,0,1132
1182,0,1132
1182,0,1132
1182,0,1132
1188,0,1163
1188,0,1163
1188,0,1163
1190,0,1198
1190,0,1235
1190,0,1225
1190,0,1198
1190,0,1235
1190,0,1225
1190,0,1198
1190,0,1235
1190,0,1225
1191,0,1237
1191,0,1237
1191,0,1237
1194,0,1246
1194,0,1246
1196,0,1246
1197,0,1199
1197,0,1235
1197,0,1199
1197,0,1235
1197,0,1199
1197,0,1235
1200,0,1268
1200,0,1268
1200,0,1268
1200,0,1268
1202,0,1271
1203,0,1427
1203,0,1427
1203,0,1427
1206,0,1291
1206,0,1291
1206,0,1291
1212,0,1321
1212,0,1237
1212,0,1321
1212,0,1237
1212,0,1321
1212,0,1237
1212,0,1321
1212,0,1237
1212,0,1321
1212,0,1237
1215,0,85
1215,0,85
1215,0,85
1215,0,85
1216,0,1372
1216,0,1372
1216,0,1372
1216,0,1372
1220,0,1387
1220,0,1387
1220,0,1387
1220,0,1387
1221,0,1389
1221,0,1389
1227,0,1267
1227,0,1267
1227,0,1267
1227,0,1267
1228,0,1416
1228,0,1416
1228,0,1416
1228,0,1416
1243,0,1525
1243,0,1525
1243,0,1525
1243,0,1525
1251,0,1372
1251,0,1643
1251,0,1300
1251,0,1372
1251,0,1643
1251,0,1300
1251,0,1372
1251,0,1643
1251,0,1300
1251,0,1372
1251,0,1643
1251,0,1300
1253,0,1016
1253,0,1016
1253,0,1016
1253,0,1016
1258,0,1722
1258,0,1721
1258,0,1720
1258,0,1718
1258,0,1722
1258,0,1721
1258,0,1720
1258,0,1718
1258,0,1722
1258,0,1721
1258,0,1720
1258,0,1718
1258,0,1722
1258,0,1721
1258,0,1720
1258,0,1718
1259,0,1491
1259,0,1491
1259,0,1491
1259,0,1491
1259,0,1491
1260,0,1740
1260,0,1727
1260,0,1726
1260,0,495
1260,0,1725
