original_user_id,gt_index,top10_preds
0,-1,"[1190, 1198, 1322, 1474, 1278, 2273, 2544, 2823, 2961, 1216]"
10,-1,"[1630, 2552, 2554, 2136, 1883, 2635, 1646, 2171, 504, 1752]"
100,17,"[380, 2023, 2626, 2944, 3144, 2024, 2171, 1714, 2552, 2056]"
1000,-1,"[1648, 1176, 1334, 1866, 2336, 2243, 1412, 2620, 1863, 2445]"
10000,-1,"[2595, 2504, 2274, 2760, 2690, 2516, 2953, 2933, 3006, 2386]"
10003,-1,"[1447, 2474, 2622, 2936, 2696, 2693, 1330, 679, 1689, 1255]"
10005,-1,"[1330, 2689, 2665, 2068, 1469, 1326, 2829, 2699, 2051, 2294]"
10006,-1,"[3113, 3121, 2348, 2807, 2416, 2966, 1798, 1330, 3054, 2346]"
10007,-1,"[1621, 2785, 1628, 1461, 2773, 2487, 1444, 1324, 461, 3061]"
10008,-1,"[2416, 2968, 374, 1628, 1466, 1739, 3113, 3045, 1856, 92]"
