h,r,t
2492,1,3149
1926,1,3149
1925,1,3149
1769,1,3149
1420,1,3149
1409,1,3149
1288,1,3149
1233,1,3149
1202,1,3149
1178,1,3149
1271,1,3150
2086,1,3150
1435,1,3150
1962,1,3150
1490,1,3150
2342,1,3154
1324,1,3154
2463,1,3154
1704,1,3154
2339,1,3154
1423,1,3154
1242,1,3154
1642,1,3154
2131,1,3154
1806,1,3154
1897,1,3154
1306,1,3154
2548,1,3154
1933,1,3154
2555,1,3154
2393,1,3154
1358,1,3154
1647,1,3154
2640,1,3154
2618,1,3154
2615,1,3154
2388,1,3154
2338,1,3154
2331,1,3154
2320,1,3154
2214,1,3154
2120,1,3154
2060,1,3154
1944,1,3154
1911,1,3154
1907,1,3154
1895,1,3154
1890,1,3154
1859,1,3154
1796,1,3154
1790,1,3154
1681,1,3154
1671,1,3154
1586,1,3154
1562,1,3154
1559,1,3154
1556,1,3154
1465,1,3154
1450,1,3154
1434,1,3154
1416,1,3154
1350,1,3154
1349,1,3154
1260,1,3154
1247,1,3154
1161,1,3154
2720,1,3155
2524,1,3155
2522,1,3155
2108,1,3155
2077,1,3155
2062,1,3155
2102,1,3156
2309,1,3156
1940,1,3156
1717,1,3156
1590,1,3156
1559,1,3156
1357,1,3156
1206,1,3161
1383,1,3161
1783,1,3161
2354,1,3161
2524,1,3161
2522,1,3161
2352,1,3161
2018,1,3161
1931,1,3161
1865,1,3161
1862,1,3161
1446,1,3161
1444,1,3161
1292,1,3162
2555,1,3162
1503,1,3162
2343,1,3162
1891,1,3162
1888,1,3162
1376,1,3162
1372,1,3162
1206,1,3164
2394,1,3164
2354,1,3164
1214,1,3164
1442,1,3164
2223,1,3165
2219,1,3165
2768,1,3165
2220,1,3165
2461,1,3165
2302,1,3165
2217,1,3165
2063,1,3165
2055,1,3165
1917,1,3165
1272,1,3165
1240,1,3167
1996,1,3167
1418,1,3167
2502,1,3167
2386,1,3167
1676,1,3167
1495,1,3167
1342,1,3167
1326,1,3167
1325,1,3167
1213,1,3167
1192,1,3167
1378,1,3168
1810,1,3168
2524,1,3168
2522,1,3168
1446,1,3168
1379,1,3168
1351,1,3168
2559,1,3169
1448,1,3169
2743,1,3169
2427,1,3169
2117,1,3169
2621,1,3170
2532,1,3170
2511,1,3170
2045,1,3170
2021,1,3170
1464,1,3170
1252,1,3170
1159,1,3170
1236,1,3172
1275,1,3172
2614,1,3172
2361,1,3172
2226,1,3172
1934,1,3172
1813,1,3172
1651,1,3172
1640,1,3172
1482,1,3172
1421,1,3172
1281,1,3172
1222,1,3172
1201,1,3172
1275,1,3173
1953,1,3173
2384,1,3173
2374,1,3173
2291,1,3173
1934,1,3173
1813,1,3173
1713,1,3173
1572,1,3173
1507,1,3173
1506,1,3173
1425,1,3173
1421,1,3173
1404,1,3173
1267,1,3173
1264,1,3173
1274,1,3174
1219,1,3174
2069,1,3174
2495,1,3174
2557,1,3174
2498,1,3174
1969,1,3174
1626,1,3174
1571,1,3174
1537,1,3174
1451,1,3174
1429,1,3174
1397,1,3174
1369,1,3174
1283,1,3174
1163,1,3174
1970,1,3175
1924,1,3175
1376,1,3175
1372,1,3175
1346,1,3175
1293,1,3176
1784,1,3176
1778,1,3176
1766,1,3176
1765,1,3176
1523,1,3176
1510,1,3176
1437,1,3176
1385,1,3176
1340,1,3176
1313,1,3176
1285,1,3176
1278,1,3176
1196,1,3176
1188,1,3176
1187,1,3176
1164,1,3176
2352,1,3178
2323,1,3178
1931,1,3178
1893,1,3178
1471,1,3178
2205,1,3179
1470,1,3179
2380,1,3179
2145,1,3179
1958,1,3179
1494,1,3179
1432,1,3179
2557,1,3180
1932,1,3180
1929,1,3180
1927,1,3180
1772,1,3180
1632,1,3180
1490,1,3180
1348,1,3180
1248,1,3180
1229,1,3180
1634,1,3186
2836,1,3186
1193,1,3186
2419,1,3186
2556,1,3186
1496,1,3186
2193,1,3186
1580,1,3186
2051,1,3187
1962,1,3187
1764,1,3187
1469,1,3187
1183,1,3187
2740,1,3188
1910,1,3188
1891,1,3188
1888,1,3188
1232,1,3188
2121,1,3189
2739,1,3189
2079,1,3189
1378,1,3189
2122,1,3189
2087,1,3189
1914,1,3189
1906,1,3189
1364,1,3189
2000,1,3191
2195,1,3191
2578,1,3191
2556,1,3191
1496,1,3191
2076,1,3191
1950,1,3191
1853,1,3191
1360,1,3191
1430,1,3191
2309,1,3192
2049,1,3192
2025,1,3192
2015,1,3192
1373,1,3192
2078,1,3193
1971,1,3193
1895,1,3193
1433,1,3193
1426,1,3193
1409,1,3193
1291,1,3193
1273,1,3193
1270,1,3193
1251,1,3193
1216,1,3193
2279,1,3195
2465,1,3195
1168,1,3195
2187,1,3195
2186,1,3195
1265,1,3195
1249,1,3195
1827,1,3195
1268,1,3195
1371,1,3195
1238,1,3195
2671,1,3195
2619,1,3195
2599,1,3195
2425,1,3195
1765,1,3195
1651,1,3195
1594,1,3195
1577,1,3195
1518,1,3195
1462,1,3195
1454,1,3195
1443,1,3195
1437,1,3195
1433,1,3195
1400,1,3195
1251,1,3195
1743,1,3196
1878,1,3196
2552,1,3196
2474,1,3196
2440,1,3196
2351,1,3196
2337,1,3196
2300,1,3196
2166,1,3196
1328,1,3196
1883,1,3196
1833,1,3196
1807,1,3196
1674,1,3196
1523,1,3196
1513,1,3196
1504,1,3196
1431,1,3196
1389,1,3196
1380,1,3196
1367,1,3196
1346,1,3196
1318,1,3196
1307,1,3196
1254,1,3196
1241,1,3196
1237,1,3196
1226,1,3196
1205,1,3196
1174,1,3196
1160,1,3196
1670,1,3199
1570,1,3199
1510,1,3199
1483,1,3199
1278,1,3199
1188,1,3199
2287,1,3201
301,1,3201
2740,1,3201
2665,1,3201
2664,1,3201
2526,1,3201
2475,1,3201
2286,1,3201
2108,1,3201
2098,1,3201
1909,1,3201
1904,1,3201
1900,1,3201
1865,1,3201
1862,1,3201
1356,1,3201
1355,1,3201
1159,1,3201
2124,1,3202
1897,1,3202
1208,1,3202
2386,1,3202
1971,1,3202
1939,1,3202
1570,1,3202
1295,1,3202
1233,1,3202
1231,1,3202
2555,1,3206
2636,1,3206
2553,1,3206
2240,1,3206
2172,1,3206
1949,1,3206
1937,1,3206
1888,1,3206
1887,1,3206
1631,1,3206
1419,1,3206
1357,1,3206
1743,1,3208
1375,1,3208
1922,1,3208
1786,1,3208
1269,1,3208
1160,1,3208
1206,1,3210
1344,1,3210
1501,1,3210
1408,1,3210
2541,1,3210
2531,1,3210
2325,1,3210
2030,1,3210
2019,1,3210
1856,1,3210
1764,1,3210
1500,1,3210
1447,1,3211
1306,1,3211
2544,1,3211
2539,1,3211
2498,1,3211
2244,1,3211
1984,1,3211
1935,1,3211
1861,1,3211
1723,1,3211
1521,1,3211
1481,1,3211
1410,1,3211
1217,1,3211
1191,1,3211
2287,1,3213
1391,1,3213
2809,1,3213
2605,1,3213
2253,1,3213
2247,1,3213
2239,1,3213
2213,1,3213
2197,1,3213
2194,1,3213
2080,1,3213
2048,1,3213
1987,1,3213
1872,1,3213
1841,1,3213
1817,1,3213
1754,1,3213
1593,1,3213
1159,1,3213
1634,1,3215
2195,1,3215
2580,1,3215
2578,1,3215
2579,1,3215
1499,1,3215
1665,1,3215
1587,1,3215
1950,1,3215
1853,1,3215
2193,1,3215
1418,1,3215
1408,1,3215
1555,1,3215
1430,1,3215
2027,1,3215
1897,1,3216
1745,1,3216
1180,1,3216
2532,1,3216
2386,1,3216
1923,1,3216
1855,1,3216
1824,1,3216
1464,1,3216
1451,1,3216
1321,1,3216
1163,1,3216
1159,1,3216
1236,1,3217
2113,1,3217
2226,1,3217
1858,1,3217
1640,1,3217
1482,1,3217
1201,1,3217
1939,1,3220
1688,1,3220
1495,1,3220
1452,1,3220
1246,1,3220
1224,1,3220
2501,1,3223
2374,1,3223
2295,1,3223
2291,1,3223
1571,1,3223
1425,1,3223
1382,1,3223
1369,1,3223
1352,1,3223
1159,0,11592
1159,0,11481
1160,0,11703
1161,0,12258
1162,0,13814
1162,0,13703
1163,0,13925
1166,0,11370
1173,0,18918
1172,0,11103
1172,0,11092
1172,0,11059
1171,0,6991
1167,0,11737
1165,0,11448
1165,0,11437
1165,0,11426
1165,0,11415
1165,0,11404
1164,0,4559
1174,0,12403
1174,0,12392
1174,0,12403
1174,0,12392
1174,0,12403
1174,0,12392
1174,0,12403
1174,0,12392
1174,0,12403
1174,0,12392
1178,0,12692
1178,0,12692
1178,0,12692
1183,0,13070
1183,0,13070
1183,0,13070
1183,0,13070
1189,0,13214
1189,0,13214
1189,0,13214
1191,0,13425
1191,0,13604
1191,0,13558
1191,0,13425
1191,0,13604
1191,0,13558
1191,0,13425
1191,0,13604
1191,0,13558
1192,0,13615
1192,0,13615
1192,0,13615
1195,0,13681
1195,0,13681
1197,0,13681
1198,0,13436
1198,0,13604
1198,0,13436
1198,0,13604
1198,0,13436
1198,0,13604
1201,0,13837
1201,0,13837
1201,0,13837
1201,0,13837
1203,0,13870
1204,0,14782
1204,0,14782
1204,0,14782
1207,0,13981
1207,0,13981
1207,0,13981
1213,0,14203
1213,0,13615
1213,0,14203
1213,0,13615
1213,0,14203
1213,0,13615
1213,0,14203
1213,0,13615
1213,0,14203
1213,0,13615
1216,0,4769
1216,0,4769
1216,0,4769
1216,0,4769
1217,0,14392
1217,0,14392
1217,0,14392
1217,0,14392
1221,0,14469
1221,0,14469
1221,0,14469
1221,0,14469
1222,0,14481
1222,0,14481
1228,0,13815
